PC1,PC2,Cluster
0.6955955359147336,0.5662291123172754,0
-0.48240605795263014,1.687352138740754,0
-0.03186181579261078,0.003012393561890808,0
0.2810904530645872,-0.20827162022170514,0
-0.6328967182489489,-0.47604999100703393,0
-1.6229199418426086,-0.45519896735282034,1
-2.4177827425489835,-0.3381664876653291,1
-2.4844068371211923,0.8840795776958484,1
-3.2446439948488495,-0.3178809295521798,1
-3.2734396799828884,-1.3039445470024533,1
-4.41337584375916,-0.22137690888862474,1
-4.584552221936796,-0.18109849029046354,1
-3.9909175969960087,-0.32726586222116066,1
-2.483191283999259,-0.5101514456669175,1
-0.16192148511797247,0.9036494544988665,0
-0.12817281017026969,0.16901752369694503,0
-1.1618692445536167,-0.135861352985597,1
-1.9607142124283816,-0.4224886761388648,1
-1.6874906446701208,-0.26624606342803553,1
-0.7583584488774009,-0.2755719642228016,0
0.8004687037025023,0.46809943282279964,0
-0.031248516432180896,-0.21491666540388787,0
-0.08730527395282847,-0.2859121972708601,0
0.90889290837483,0.19464843172911017,0
3.2506641371310048,1.7368276720396514,3
5.231362187483601,2.82317009309331,2
4.3592626344370835,2.2604882826259205,2
1.2209976184845817,0.46645440801273746,0
-2.277923578931668,-0.3870995351236156,1
-3.6288832530241715,0.9041761355889701,1
-1.6986404616048836,-0.4787697057818016,1
-1.5919350931601233,-0.6589417722592926,1
-2.576068724925852,-0.5985939577663195,1
-3.4789640789784895,-1.4145539698138818,1
-5.0605251906648645,-0.4073592518782131,1
-4.915239297345153,-0.5420744828949053,1
-3.903799302625271,-0.670731993022915,1
-2.1039515903213903,-0.7126679851115988,1
2.566264566373842,0.7803866151251194,3
2.664303630470912,1.3325074583355099,3
1.2146820531172737,0.8618710543603841,0
0.7639633277858175,0.04355564130561924,0
-0.25475529367751987,0.06529162656231095,0
0.10420911160288618,0.283615310679282,0
0.6212087565986845,0.5340121708346252,0
1.118561315051739,0.7115926583122132,0
0.696939858781761,0.5049105724171085,0
0.20834610379489713,0.27640919982617357,0
2.5789903457731262,1.1297368788186803,3
2.512023960835223,1.1367535289643458,3
5.894571697488639,3.2888209410474905,2
3.4583153415601418,1.7158098803575865,3
2.1367185446784895,0.6337553526952329,3
3.8516370434999674,2.2821146198838598,2
0.4243158906904699,0.008324110478460552,0
-0.5952539807660092,-0.25092209116323977,0
-1.374412844631872,-0.3045613376821748,1
-1.073092758512077,-0.7811847709933001,1
-1.25215434886643,-0.21573855019619578,1
-2.8582141727294457,0.7999393628906359,1
-2.6637370355781265,-0.3317025976144519,1
-1.6193758465811954,-0.3195185225825205,1
0.7294871399540522,0.3836022032420165,0
1.9811800341641983,0.9737443178174143,3
1.6564031140888515,0.2939754393707997,0
2.8870580156540324,0.9147166772280829,3
1.9733646975088017,0.3193097562913816,3
0.5624789850448857,0.36683415121590973,0
-0.6651763745288307,1.3849872459198562,0
-0.2654261998455241,1.2894070471913488,0
0.19885465582042391,0.0014474440401057989,0
0.34732269738855154,-0.0400982315330475,0
2.103973588734969,0.5414768096430985,3
3.3855479601320626,1.0099462154614929,3
3.4886404593111253,1.1989714802058624,3
3.569271582051321,1.0077277556727213,3
2.0463350744656683,0.4380761671393178,3
1.2761166199782359,-0.009798613196525467,0
1.496858304093893,-0.1253801196260557,0
1.4477224503912622,0.2845958758122395,0
0.3670604004309901,0.07210333708196447,0
0.6504549434198421,0.29108832649530375,0
-1.3344783267398337,-0.09284807703267282,1
-2.180110998770283,-0.2533960632294252,1
-2.5758501857373806,0.9817205023624287,1
-2.652139365293107,-0.4027669408597076,1
-1.6194377071858213,-0.37903517239253975,1
-0.7211686248067689,-0.025939441234940273,0
0.2978167107666902,0.4403783447954021,0
1.1932541801775463,0.5274279907609924,0
0.9676696357768881,0.4511669568647602,0
-0.44402515340696685,1.3059626692833737,0
-0.8746280987751829,-0.03871017915094177,0
-0.5651008072754651,0.052489471720935654,0
0.9670790882516166,1.6254780623619742,0
1.085764613606522,0.4126587667722848,0
1.1024910122151697,0.3298098953634534,0
3.9058443319683662,1.3674256260793638,3
5.0088357487904975,1.7945007123060817,3
2.6322297489047437,0.8052560065813618,3
0.651922862139876,-0.054677525493692584,0
0.5765050690710377,-0.1282935715871202,0
-0.23871808688668064,-0.06593332511942279,0
-0.4187676435684485,0.031157748704238812,0
-0.47971432207516446,0.06293573924723934,0
-1.1407600364877764,-0.7117301061464165,1
-1.7042855762145324,-0.07513900450687541,1
-1.6347155030423546,1.0417579460143214,1
-0.7926124748718268,-0.03229417768202543,0
0.546520452194615,0.3483602666180028,0
4.546988788317998,2.645417122086657,3
7.318116130310129,4.543454778834005,2
5.406250718069557,2.665350774517751,2
3.841802429449619,1.65345204573123,3
2.00594031269502,0.9057295966148821,3
1.7524825102331876,1.1315005103367461,0
1.4687930223700496,1.1472732412206672,0
0.6775429676300458,0.9319897026785592,0
0.36593763077891056,0.6655645463377775,0
1.5120015112321372,1.3222591346133803,0
5.882198092076335,3.4410145440892568,2
7.836519815439711,6.1308411985228615,2
6.218613944609165,3.7934571680804656,2
3.6605569438449836,1.8671085908462002,3
2.1519687566077565,1.172467827382088,3
-0.5988705992519071,-0.0952189747732933,0
0.76535587461816,0.80121905199355,0
-1.3177158819255816,-0.2008606626717762,1
-2.667460840061552,-0.20435408437692204,1
-2.3754220097208854,-1.129443025619961,1
-2.7729070708221992,-0.2847166934626235,1
-3.169225290129348,-0.26508628248109617,1
-2.2757671761342944,-0.2530844882243579,1
-1.4736539597440323,-0.02055721879397271,1
2.22701104129346,1.388809076031349,3
2.816619303475065,2.223353404378639,3
5.028848054758514,2.6249610570827797,2
3.7235085164211457,1.4678435468763642,3
2.7808714938663917,1.2635477929671535,3
3.830521075915463,3.2234056859464046,2
3.034203792098218,1.4008787225313286,3
1.1769824121436632,0.8665375335161227,0
1.619980532728983,0.8807468505231063,0
1.6275043445017372,0.7553250159037305,0
1.9735494291221383,1.0778039027945459,3
2.588505676833327,1.4651360197112733,3
2.0628544353922202,0.9968641312813904,3
5.032588623694653,1.7979441777143568,3
1.8392273246186297,0.5009310126883689,3
0.22806999529145436,-0.145723144914166,0
0.08900186549961307,-0.08724333803527544,0
-1.1918181236112824,-0.3419411829257454,1
-1.9401076647398747,-0.3967575951397392,1
-2.1753498701418157,-1.168681588337657,1
-3.2030412257889824,-0.4873339942675507,1
-3.7489552178225476,-0.30819994427979347,1
-3.3762771952882717,-0.39763600994121917,1
-0.6214801239615183,0.08699979021607629,0
3.1579997183742075,1.6686088204356755,3
6.183433159322479,4.229500466938169,2
3.599652008793544,2.1926970453597656,2
2.182989716703294,0.7276027917000678,3
1.5043561812172432,0.06347592123061846,0
2.0828725796194374,0.4521622965214361,3
1.2680918866489794,0.5447461225847311,0
-0.17334875333165303,1.3311165547318375,0
1.2311569480885278,0.6697247963946356,0
0.1121794891743515,0.21183663493864988,0
3.8478183787644027,3.3253001530734134,2
7.311683011747931,3.5921765362458014,2
6.988023815698607,3.4733522621042803,2
5.569738566109439,2.6640977790808567,2
2.3322610397786585,0.7039853709746331,3
2.448857748728901,1.0301145595720378,3
1.479158835652785,0.5762937003474017,0
-0.2879381512882778,-0.18581993367884883,0
-1.2418690607195437,0.928986311892465,1
-1.7145222169853103,-0.9953492684093088,1
-2.429736878883421,-0.5227934703677226,1
-2.8957993651472744,-0.3500486166060235,1
-2.5153937387163143,-0.48405248719656285,1
